hs2,hs2_id,hs4,hs4_id,section,section_id,time,time_id,trade_value,type
"Beverages, spirits and vinegar",422,Water,42201,Foodstuffs,4,2017,NA,1387242,Export--US to China
"Beverages, spirits and vinegar",422,Flavored Water,42202,Foodstuffs,4,2017,NA,8511474,Export--US to China
"Beverages, spirits and vinegar",422,Beer,42203,Foodstuffs,4,2017,NA,7021099,Export--US to China
"Beverages, spirits and vinegar",422,Wine,42204,Foodstuffs,4,2017,NA,74466599,Export--US to China
"Beverages, spirits and vinegar",422,Vermouth,42205,Foodstuffs,4,2017,NA,2229724,Export--US to China
"Beverages, spirits and vinegar",422,Other Fermented Beverages,42206,Foodstuffs,4,2017,NA,1846685,Export--US to China
"Beverages, spirits and vinegar",422,Alcohol > 80% ABV,42207,Foodstuffs,4,2017,NA,73278348,Export--US to China
"Beverages, spirits and vinegar",422,Hard Liquor,42208,Foodstuffs,4,2017,NA,13546057,Export--US to China
"Beverages, spirits and vinegar",422,Vinegar,42209,Foodstuffs,4,2017,NA,316206,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Animal Meal and Pellets,42301,Foodstuffs,4,2017,NA,125542983,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Bran,42302,Foodstuffs,4,2017,NA,16511704,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Starch Residue,42303,Foodstuffs,4,2017,NA,71770084,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Soybean Meal,42304,Foodstuffs,4,2017,NA,535390,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Other Vegetable Residues,42306,Foodstuffs,4,2017,NA,51516,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Wine Lees,42307,Foodstuffs,4,2017,NA,15881,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Other Vegetable Residues and Waste,42308,Foodstuffs,4,2017,NA,16318656,Export--US to China
"Food industries, residues and wastes thereof; prepared animal fodder",423,Animal Food,42309,Foodstuffs,4,2017,NA,182374187,Export--US to China
Tobacco and manufactured tobacco substitutes,424,Raw Tobacco,42401,Foodstuffs,4,2017,NA,162297021,Export--US to China
Tobacco and manufactured tobacco substitutes,424,Processed Tobacco,42403,Foodstuffs,4,2017,NA,298818,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Salt,52501,Mineral Products,5,2017,NA,44168036,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Iron Pyrites,52502,Mineral Products,5,2017,NA,13500,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Sulphur,52503,Mineral Products,5,2017,NA,47572800,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Graphite,52504,Mineral Products,5,2017,NA,744736,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Sand,52505,Mineral Products,5,2017,NA,61306365,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Quartz,52506,Mineral Products,5,2017,NA,1197997,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Kaolin,52507,Mineral Products,5,2017,NA,77711309,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Clays,52508,Mineral Products,5,2017,NA,27606063,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Calcium Phosphates,52510,Mineral Products,5,2017,NA,3900,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Barium Sulphate,52511,Mineral Products,5,2017,NA,93315,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Siliceous Fossil Meals,52512,Mineral Products,5,2017,NA,5464621,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Pumice,52513,Mineral Products,5,2017,NA,760027,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Slate,52514,Mineral Products,5,2017,NA,18156,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Marble, Travertine and Alabaster",52515,Mineral Products,5,2017,NA,1580754,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Granite,52516,Mineral Products,5,2017,NA,8404107,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Gravel and Crushed Stone,52517,Mineral Products,5,2017,NA,724783,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Magnesium Carbonate,52519,Mineral Products,5,2017,NA,3871634,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Gypsum,52520,Mineral Products,5,2017,NA,2945278,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Limestone,52521,Mineral Products,5,2017,NA,100466,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Quicklime,52522,Mineral Products,5,2017,NA,46235,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Cement,52523,Mineral Products,5,2017,NA,1806339,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Mica,52525,Mineral Products,5,2017,NA,1029400,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Soapstone,52526,Mineral Products,5,2017,NA,29657744,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Borax,52528,Mineral Products,5,2017,NA,44661,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Feldspar,52529,Mineral Products,5,2017,NA,16895,Export--US to China
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,Other Mineral,52530,Mineral Products,5,2017,NA,36104632,Export--US to China
"Ores, slag and ash",526,Iron Ore,52601,Mineral Products,5,2017,NA,2447191,Export--US to China
"Ores, slag and ash",526,Manganese Ore,52602,Mineral Products,5,2017,NA,70716,Export--US to China
"Ores, slag and ash",526,Copper Ore,52603,Mineral Products,5,2017,NA,426313377,Export--US to China
"Ores, slag and ash",526,Nickel Ore,52604,Mineral Products,5,2017,NA,34821183,Export--US to China
"Ores, slag and ash",526,Aluminium Ore,52606,Mineral Products,5,2017,NA,3876604,Export--US to China
"Ores, slag and ash",526,Lead Ore,52607,Mineral Products,5,2017,NA,327782731,Export--US to China
"Ores, slag and ash",526,Zinc Ore,52608,Mineral Products,5,2017,NA,14943138,Export--US to China
"Ores, slag and ash",526,Chromium Ore,52610,Mineral Products,5,2017,NA,3084078,Export--US to China
"Ores, slag and ash",526,Molybdenum Ore,52613,Mineral Products,5,2017,NA,74968271,Export--US to China
"Ores, slag and ash",526,Titanium Ore,52614,Mineral Products,5,2017,NA,257040,Export--US to China
"Ores, slag and ash",526,"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,Mineral Products,5,2017,NA,32449048,Export--US to China
"Ores, slag and ash",526,Precious Metal Ore,52616,Mineral Products,5,2017,NA,150206694,Export--US to China
"Ores, slag and ash",526,Other Ores,52617,Mineral Products,5,2017,NA,1359096,Export--US to China
"Ores, slag and ash",526,Granulated Slag,52618,Mineral Products,5,2017,NA,99990,Export--US to China
"Ores, slag and ash",526,Slag Dross,52619,Mineral Products,5,2017,NA,23154,Export--US to China
"Ores, slag and ash",526,"Non-Iron and Steel Slag, Ash and Residues",52620,Mineral Products,5,2017,NA,2126405,Export--US to China
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",527,Coal Briquettes,52701,Mineral Products,5,2017,NA,84367088,Export--US to China
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",527,Lignite,52702,Mineral Products,5,2017,NA,754133,Export--US to China
