country_name,year,gdp,gdpgrowth,gdppercap2010usd,gdppercapcurrentusd,percenttradegpd
Mexico,2019,1268870527160.03,-0.0545279280443225,10267.500171933,9946.03382879198,77.9152934428754
Micronesia,2017,366666800,2.68218594445551,2751.7123957501,3289.70114571277,101.024254172998
Micronesia,2018,401932300,0.211653600126766,2728.62446818169,3568.291015625,100.851461800905
Middle East & North Africa,2017,3272607336333.91,1.55440775595625,7816.87860135922,7416.58584269787,79.1191856065079
Middle East & North Africa,2018,3566140736118.84,0.954019154819278,7756.83774771526,7943.94690728231,82.2804883133753
Middle East & North Africa,2019,3649607782728.21,0.470052200360897,7660.293828552,7991.12900461805,78.4632283681272
Middle East & North Africa (excluding high income),2017,1436549350150.36,2.90672260920614,4348.98776311014,3815.06235567043,60.7058401566059
Middle East & North Africa (excluding high income),2018,1520424748698.99,-0.3780756660191,4260.69435748699,3970.84824480407,68.989684342448
Middle East & North Africa (excluding high income),2019,0,-0.366182277840849,4173.58423390929,0,65.9462665263726
Middle East & North Africa (IDA & IBRD countries),2017,1420124946945.3,2.91983114099361,4364.52545494134,3816.59680341189,60.6498404815631
Middle East & North Africa (IDA & IBRD countries),2018,1503870646199.25,-0.392016144487499,4275.76076045941,3975.04843658749,68.9722425952979
Middle East & North Africa (IDA & IBRD countries),2019,0,-0.377790200689446,4188.26751520748,0,65.922676295048
Middle income,2017,29355518486024.9,4.94901082704509,4973.39677397958,5196.35976092234,48.3049042044132
Middle income,2018,31284038166250.9,4.43698024911059,5138.70982483801,5478.71794784699,51.0988520515087
Middle income,2019,32153305760637.5,3.6730717694806,5272.86145353268,5573.24410720134,49.1532243114063
Moldova,2017,9669759987.02633,4.69079339018722,3321.62208017648,3509.69345025814,85.6371918766728
Moldova,2018,11456717193.2501,4.30147772232226,3527.37419357356,4233.74343674119,85.8662253827237
Moldova,2019,11968713370.4969,3.58048425375992,3720.2272129762,4503.51698538847,87.3873957306116
Monaco,2017,6431314957.07185,-3.40000080981497,186185.105236886,167517.059727856,0
Monaco,2018,7188238072.74445,6.10000047479944,196061.416844238,185829.017960407,0
